Date,DayOfWeek,S&P500,Gold_Close,Bitcoin_Close,Ethereum_Close
2017-05-02,2,2391.17,1255.0999755859375,1452.8199462890625,77.2638015747
2017-05-03,3,2388.13,1246.4000244140625,1490.0899658203125,79.7182006836
2017-05-04,4,2389.52,1226.5,1537.6700439453125,96.9813995361
2017-05-05,5,2399.29,1224.800048828125,1555.449951171875,94.3984985352
2017-05-08,1,2399.38,1225.300048828125,1723.3499755859375,91.4204025269
2017-05-09,2,2396.92,1214.300048828125,1755.3599853515625,91.162902832
2017-05-10,3,2399.63,1217.300048828125,1787.1300048828125,89.5249023438
2017-05-11,4,2394.44,1222.699951171875,1848.5699462890625,89.879699707
2017-05-12,5,2390.9,1226.199951171875,1724.239990234375,88.6554031372
2017-05-15,1,2402.32,1228.5999755859375,1738.4300537109375,92.4149017334
2017-05-16,2,2400.67,1235.0,1734.449951171875,89.43800354
2017-05-17,3,2357.03,1257.5,1839.0899658203125,89.8603973389
2017-05-18,4,2365.72,1251.699951171875,1888.6500244140625,96.9063034058
2017-05-19,5,2381.73,1252.699951171875,1987.7099609375,129.5269927979
2017-05-22,1,2394.02,1260.699951171875,2173.39990234375,174.2610015869
2017-05-23,2,2398.42,1254.800048828125,2320.419921875,181.9519958496
2017-05-24,3,2404.39,1252.4000244140625,2443.639892578125,190.046005249
2017-05-25,4,2415.07,1255.800048828125,2304.97998046875,174.4459991455
2017-05-26,5,2415.82,1267.5999755859375,2202.419921875,160.4029998779
2017-05-30,2,2412.91,1262.0999755859375,2175.469970703125,231.9109954834
2017-05-31,3,2411.8,1272.0,2286.409912109375,230.6690063477
2017-06-01,4,2430.06,1267.0,2407.8798828125,222.2389984131
2017-06-02,5,2439.07,1276.800048828125,2488.550048828125,223.7749938965
2017-06-05,1,2436.1,1279.300048828125,2686.81005859375,248.4640045166
2017-06-06,2,2429.33,1294.4000244140625,2863.199951171875,264.466003418
2017-06-07,3,2433.14,1290.0999755859375,2732.159912109375,258.0710144043
2017-06-08,4,2433.79,1276.300048828125,2805.6201171875,261.6659851074
2017-06-09,5,2431.77,1268.5,2823.81005859375,281.7369995117
2017-06-12,1,2429.39,1266.0999755859375,2659.6298828125,401.4899902344
2017-06-13,2,2440.35,1265.800048828125,2717.02001953125,397.5369873047
2017-06-14,3,2437.92,1272.800048828125,2506.3701171875,359.0530090332
2017-06-15,4,2432.46,1252.199951171875,2464.580078125,361.933013916
2017-06-16,5,2433.15,1254.0,2518.56005859375,370.2269897461
2017-06-19,1,2453.46,1244.199951171875,2589.60009765625,370.0559997559
2017-06-20,2,2437.03,1241.0,2721.7900390625,359.0050048828
2017-06-21,3,2435.61,1243.4000244140625,2689.10009765625,336.8720092773
2017-06-22,4,2434.5,1247.5999755859375,2705.409912109375,336.3710021973
2017-06-23,5,2438.3,1256.199951171875,2744.909912109375,341.7390136719
2017-06-26,1,2439.07,1246.300048828125,2478.449951171875,272.691986084
2017-06-27,2,2419.38,1246.4000244140625,2552.449951171875,293.0880126953
2017-06-28,3,2440.69,1248.0,2574.7900390625,327.9270019531
2017-06-29,4,2419.7,1244.199951171875,2539.320068359375,302.8829956055
2017-06-30,5,2423.41,1240.699951171875,2480.840087890625,294.9159851074
